xmin,ymin,xmax,ymax,width,height,center_x,center_y,depth,state
0.9765625,0.1953125,1.025390625,0.244140625,0.048828125,0.048828125,1.0009765625,0.2197265625,10,FREE
1.025390625,0.1953125,1.07421875,0.244140625,0.048828125,0.048828125,1.0498046875,0.2197265625,10,FREE
0.9765625,0.244140625,1.025390625,0.29296875,0.048828125,0.048828125,1.0009765625,0.2685546875,10,OCCUPIED
1.025390625,0.244140625,1.07421875,0.29296875,0.048828125,0.048828125,1.0498046875,0.2685546875,10,OCCUPIED
1.07421875,0.1953125,1.123046875,0.244140625,0.048828125,0.048828125,1.0986328125,0.2197265625,10,FREE
1.123046875,0.1953125,1.171875,0.244140625,0.048828125,0.048828125,1.1474609375,0.2197265625,10,FREE
1.07421875,0.244140625,1.123046875,0.29296875,0.048828125,0.048828125,1.0986328125,0.2685546875,10,OCCUPIED
1.123046875,0.244140625,1.171875,0.29296875,0.048828125,0.048828125,1.1474609375,0.2685546875,10,OCCUPIED
0.9765625,0.29296875,1.07421875,0.390625,0.09765625,0.09765625,1.025390625,0.341796875,9,OCCUPIED
1.07421875,0.29296875,1.171875,0.390625,0.09765625,0.09765625,1.123046875,0.341796875,9,OCCUPIED
1.171875,0.0,1.3671875,0.1953125,0.1953125,0.1953125,1.26953125,0.09765625,8,FREE
1.3671875,0.0,1.5625,0.1953125,0.1953125,0.1953125,1.46484375,0.09765625,8,FREE
1.171875,0.1953125,1.220703125,0.244140625,0.048828125,0.048828125,1.1962890625,0.2197265625,10,FREE
1.220703125,0.1953125,1.26953125,0.244140625,0.048828125,0.048828125,1.2451171875,0.2197265625,10,FREE
1.171875,0.244140625,1.220703125,0.29296875,0.048828125,0.048828125,1.1962890625,0.2685546875,10,OCCUPIED
1.220703125,0.244140625,1.26953125,0.29296875,0.048828125,0.048828125,1.2451171875,0.2685546875,10,OCCUPIED
1.26953125,0.1953125,1.318359375,0.244140625,0.048828125,0.048828125,1.2939453125,0.2197265625,10,FREE
