count,time,location_odometry_pos_x,location_odometry_pos_y,location_odometry_pos_z,location_odometry_roll,location_odometry_pitch,location_odometry_yaw
206,103000,5.106600245878912,8.445808256962959,0,0,0,0.0
207,103500,31.669100245878912,37.45815393597531,0,0,0,0.0
208,104000,9.794100245878912,15.235931713753075,0,0,0,0.0
209,104500,7.450350245878912,10.503421425687238,0,0,0,0.0
210,105000,26.200350245878912,34.57749549976132,0,0,0,0.0
211,105500,17.411287745878912,43.21947080840329,0,0,0,0.0
212,106000,16.630037745878912,46.30589056148971,0,0,0,0.0
213,106500,33.42691274587891,10.77776984818381,0,0,0,0.0
214,107000,13.114412745878912,42.25925132966529,0,0,0,0.0
215,107500,28.739412745878912,26.82715256423319,0,0,0,0.0
216,108000,6.083162745878912,19.419745156825776,0,0,0,0.0
217,108500,13.407381495878912,34.440321288513026,0,0,0,0.0
218,109000,4.032381495878912,2.958839807031546,0,0,0,0.0
219,109500,8.329256495878912,25.18106202925377,0,0,0,0.0
220,110000,33.32925649587891,47.40328425147599,0,0,0,0.0
221,110500,42.70425649587891,15.304518819377218,0,0,0,0.0
222,111000,30.204256495878912,33.82303733789575,0,0,0,0.0
223,111500,44.26675649587891,17.15637067122907,0,0,0,0.0
224,112000,38.01675649587891,44.934148449006855,0,0,0,0.0
225,112500,46.61050649587891,38.34978630908916,0,0,0,0.0
226,113000,2.8605064958789117,27.23867519797805,0,0,0,0.0
227,113500,27.860506495878912,49.460897420200276,0,0,0,0.0
228,114000,5.985506495878912,6.868304827607679,0,0,0,0.0
229,114500,32.54800649587891,36.497934457237314,0,0,0,0.0
230,115000,16.923006495878912,37.73250235847188,0,0,0,0.0
231,115500,36.25894399587891,45.13990976587929,0,0,0,0.0
232,116000,40.94644399587891,48.226329518965706,0,0,0,0.0
233,116500,41.72769399587891,18.276626729756735,0,0,0,0.0
234,117000,27.274568995878912,42.35070080383082,0,0,0,0.0
235,117500,30.399568995878912,21.363046482843153,0,0,0,0.0
236,118000,41.33706899587891,12.1037872235839,0,0,0,0.0
237,118500,1.4933189958789117,22.597614384077723,0,0,0,0.0
238,119000,4.764803370878912,18.482388046629165,0,0,0,0.0
239,119500,14.921053370878912,49.34658557749337,0,0,0,0.0
240,120000,11.796053370878912,40.08732631823411,0,0,0,0.0
241,120500,43.04605337087891,45.64288187378967,0,0,0,0.0
242,121000,44.60855337087891,3.0502892811970694,0,0,0,0.0
243,121500,7.108553370878912,19.71695594786373,0,0,0,0.0
244,122000,13.358553370878912,8.605844836752624,0,0,0,0.0
245,122500,27.030428370878912,22.803375700950152,0,0,0,0.0
246,123000,11.405428370878912,28.35893125650572,0,0,0,0.0
247,123500,12.967928370878912,38.44123578325469,0,0,0,0.0
248,124000,37.96792837087891,5.1079024499213475,0,0,0,0.0
249,124500,47.34292837087891,27.33012467214358,0,0,0,0.0
250,125000,9.842928370878912,49.5523468943658,0,0,0,0.0
251,125500,32.49917837087891,10.04617405485962,0,0,0,0.0
252,126000,35.62417837087891,39.67580368448926,0,0,0,0.0
