count,x,y,halt
81,61.15988897020204,-34.13544966056115,0
82,61.17201575163456,-34.086942534831074,0
83,61.18414253306708,-34.03843540910099,0
84,61.1962693144996,-33.989928283370915,0
85,61.208396095932116,-33.94142115764083,0
86,61.225001502409576,-33.87499953173101,0
87,61.2371282838421,-33.82649240600093,0
88,61.24925506527462,-33.77798528027085,0
89,61.26138184670714,-33.72947815454077,0
90,61.27350862813965,-33.68097102881069,0
91,61.28563540957217,-33.63246390308061,0
92,61.29776219100469,-33.58395677735053,0
93,61.309888972437214,-33.53544965162045,0
94,61.322015753869735,-33.48694252589038,0
95,61.334142535302256,-33.438435400160294,0
96,61.34626931673478,-33.38992827443022,0
97,61.35839609816729,-33.341421148700135,0
98,61.37052287959981,-33.29291402297006,0
99,61.38264966103233,-33.244406897239976,0
100,61.39477644246485,-33.1958997715099,0
101,61.40690322389737,-33.14739264577982,0
102,61.419030005329894,-33.09888552004974,0
103,61.431156786762415,-33.050378394319665,0
104,61.44328356819493,-33.00187126858958,0
105,61.45541034962745,-32.953364142859506,0
106,61.46753713105997,-32.90485701712942,0
107,61.47966391249249,-32.85634989139935,0
108,61.49179069392501,-32.807842765669264,0
109,61.50391747535753,-32.75933563993919,0
110,61.525001506879924,-32.67499951384961,0
111,61.54081289541637,-32.62756534824026,0
112,61.55662428395282,-32.580131182630915,0
113,61.57243567248928,-32.53269701702156,0
114,61.588247061025726,-32.485262851412216,0
115,61.604058449562174,-32.43782868580286,0
116,61.61986983809862,-32.39039452019352,0
117,61.63568122663507,-32.342960354584164,0
118,61.65149261517153,-32.29552618897481,0
119,61.667304003707976,-32.248092023365466,0
120,61.683115392244424,-32.20065785775611,0
121,61.69892678078087,-32.15322369214677,0
122,61.71473816931732,-32.105789526537414,0
123,61.73054955785377,-32.05835536092807,0
124,61.746360946390226,-32.010921195318716,0
125,61.762172334926674,-31.963487029709366,0
126,61.77798372346312,-31.916052864100017,0
127,61.79379511199957,-31.868618698490668,0
128,61.80960650053602,-31.821184532881315,0
129,61.825417889072476,-31.773750367271965,0
130,61.841229277608925,-31.726316201662616,0
131,61.85704066614537,-31.678882036053267,0
132,61.87500151209533,-31.624999498203394,0
133,61.89081290063178,-31.577565332594045,0
134,61.90662428916823,-31.530131166984695,0
135,61.922435677704684,-31.482697001375346,0
136,61.93824706624113,-31.435262835765993,0
137,61.95405845477758,-31.387828670156644,0
138,61.96986984331403,-31.340394504547294,0
139,61.98568123185048,-31.292960338937945,0
140,62.001492620386934,-31.245526173328596,0
141,62.01730400892338,-31.198092007719247,0
142,62.03311539745983,-31.150657842109897,0
143,62.04892678599628,-31.103223676500544,0
144,62.06473817453273,-31.055789510891195,0
145,62.08054956306918,-31.008355345281846,0
