count, time, location_odometry_pos_x, location_odometry_pos_y, location_odometry_pos_z, location_odometry_roll, location_odometry_pitch, location_odometry_yaw, 
348,174000,9.701000,-11.482000,0.000000,0.000000,0.000000,1.499000, 
351,175500,9.778000,-10.357000,0.000000,0.000000,0.000000,1.512000, 
354,177000,9.823000,-9.237000,0.000000,0.000000,0.000000,1.551000, 
357,178500,9.858000,-8.106000,0.000000,0.000000,0.000000,1.540000, 
360,180000,9.898000,-6.951000,0.000000,0.000000,0.000000,1.511000, 
363,181500,9.967000,-5.812000,0.000000,0.000000,0.000000,1.499000, 
366,183000,10.057000,-4.659000,0.000000,0.000000,0.000000,1.507000, 
369,184500,10.049000,-3.506000,0.000000,0.000000,0.000000,1.669000, 
372,186000,9.732000,-2.412000,0.000000,0.000000,0.000000,2.084000, 
375,187500,8.973000,-1.600000,0.000000,0.000000,0.000000,2.541000, 
378,189000,7.945000,-1.148000,0.000000,0.000000,0.000000,2.881000, 
381,190500,6.847000,-0.944000,0.000000,0.000000,0.000000,3.029000, 
384,192000,5.727000,-0.863000,0.000000,0.000000,0.000000,3.074000, 
387,193500,4.606000,-0.831000,0.000000,0.000000,0.000000,-3.128000, 
390,195000,3.480000,-0.897000,0.000000,0.000000,0.000000,-3.073000, 
393,196500,2.366000,-0.991000,0.000000,0.000000,0.000000,-3.035000, 
396,198000,1.244000,-1.137000,0.000000,0.000000,0.000000,-3.023000, 
399,199500,0.132000,-1.242000,0.000000,0.000000,0.000000,-3.058000, 
402,201000,-0.987000,-1.335000,0.000000,0.000000,0.000000,-3.057000, 
405,202500,-2.114000,-1.378000,0.000000,0.000000,0.000000,-3.132000, 
408,204000,-3.223000,-1.381000,0.000000,0.000000,0.000000,3.137000, 
411,205500,-4.348000,-1.421000,0.000000,0.000000,0.000000,-3.057000, 
414,207000,-5.441000,-1.588000,0.000000,0.000000,0.000000,-2.868000, 
417,208500,-6.443000,-2.084000,0.000000,0.000000,0.000000,-2.530000, 
420,210000,-7.244000,-2.867000,0.000000,0.000000,0.000000,-2.205000, 
423,211500,-7.815000,-3.830000,0.000000,0.000000,0.000000,-2.028000, 
426,213000,-8.221000,-4.881000,0.000000,0.000000,0.000000,-1.840000, 
429,214500,-8.465000,-5.984000,0.000000,0.000000,0.000000,-1.773000, 
